"job_id","job_title","salary_year_avg","job_posted_date","copmany_name","skills"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","c#"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","tableau"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","power bi"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","qlik"
726941,"Data Analyst - Vegetables","98500.0","2023-02-04 09:07:53","Syngenta Group","jira"
579207,"Data Analyst – ING Branches and Service","89204.0","2023-11-28 17:25:34","ING","sql"
579207,"Data Analyst – ING Branches and Service","89204.0","2023-11-28 17:25:34","ING","r"
579207,"Data Analyst – ING Branches and Service","89204.0","2023-11-28 17:25:34","ING","sas"
579207,"Data Analyst – ING Branches and Service","89204.0","2023-11-28 17:25:34","ING","excel"
579207,"Data Analyst – ING Branches and Service","89204.0","2023-11-28 17:25:34","ING","sas"
579207,"Data Analyst – ING Branches and Service","89204.0","2023-11-28 17:25:34","ING","cognos"
282160,"Data Management Analyst","89100.0","2023-03-23 04:28:25","Experian","sql"
282160,"Data Management Analyst","89100.0","2023-03-23 04:28:25","Experian","python"
282160,"Data Management Analyst","89100.0","2023-03-23 04:28:25","Experian","r"
282160,"Data Management Analyst","89100.0","2023-03-23 04:28:25","Experian","gdpr"
917772,"Senior Business Intelligence Engineer, SCP & EIM","89100.0","2023-03-28 06:23:13","Amazon.com","sql"
917772,"Senior Business Intelligence Engineer, SCP & EIM","89100.0","2023-03-28 06:23:13","Amazon.com","aws"
917772,"Senior Business Intelligence Engineer, SCP & EIM","89100.0","2023-03-28 06:23:13","Amazon.com","redshift"
917772,"Senior Business Intelligence Engineer, SCP & EIM","89100.0","2023-03-28 06:23:13","Amazon.com","tableau"
917772,"Senior Business Intelligence Engineer, SCP & EIM","89100.0","2023-03-28 06:23:13","Amazon.com","power bi"
917772,"Senior Business Intelligence Engineer, SCP & EIM","89100.0","2023-03-28 06:23:13","Amazon.com","qlik"
52153,"Financial Data Analyst","89100.0","2023-03-09 16:26:00","Adyen","sql"
52153,"Financial Data Analyst","89100.0","2023-03-09 16:26:00","Adyen","python"
52153,"Financial Data Analyst","89100.0","2023-03-09 16:26:00","Adyen","power bi"
52153,"Financial Data Analyst","89100.0","2023-03-09 16:26:00","Adyen","looker"
1578032,"NLP Expert (Natural Language Processing)","89100.0","2023-04-21 00:12:23","NRB Group","python"
1578032,"NLP Expert (Natural Language Processing)","89100.0","2023-04-21 00:12:23","NRB Group","java"
1578032,"NLP Expert (Natural Language Processing)","89100.0","2023-04-21 00:12:23","NRB Group","r"
1578032,"NLP Expert (Natural Language Processing)","89100.0","2023-04-21 00:12:23","NRB Group","flow"
823468,"Data Science Associate","89100.0","2023-03-28 11:56:04","Nielsen","python"
1338696,"Marketing Data Analyst","89100.0","2023-04-12 19:49:55","Adyen","sql"
1338696,"Marketing Data Analyst","89100.0","2023-04-12 19:49:55","Adyen","python"
623,"Data management Consultant / Power BI","89100.0","2023-08-15 14:33:38","Talan","power bi"
838735,"[CTG] Reporting and Finance Business Partner (Fluent English...","79200.0","2023-10-09 14:33:07","Bosch Group","java"
838735,"[CTG] Reporting and Finance Business Partner (Fluent English...","79200.0","2023-10-09 14:33:07","Bosch Group","sap"
802595,"[CTG] Controlling Officer (Pricing, Billing and Data Analysis)","79200.0","2023-06-30 22:21:43","Bosch Group","java"
802595,"[CTG] Controlling Officer (Pricing, Billing and Data Analysis)","79200.0","2023-06-30 22:21:43","Bosch Group","excel"
802595,"[CTG] Controlling Officer (Pricing, Billing and Data Analysis)","79200.0","2023-06-30 22:21:43","Bosch Group","power bi"
802595,"[CTG] Controlling Officer (Pricing, Billing and Data Analysis)","79200.0","2023-06-30 22:21:43","Bosch Group","sap"
474745,"SO Data Analyst","75550.0","2023-12-07 20:53:14","Bosch Group","sql"
474745,"SO Data Analyst","75550.0","2023-12-07 20:53:14","Bosch Group","python"
474745,"SO Data Analyst","75550.0","2023-12-07 20:53:14","Bosch Group","java"
474745,"SO Data Analyst","75550.0","2023-12-07 20:53:14","Bosch Group","sql server"
474745,"SO Data Analyst","75550.0","2023-12-07 20:53:14","Bosch Group","oracle"
